RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
;;;;;;;0.35;D>B3;A;АП 5 - ДС Веснянка(Запад-3);1234567;242323;;14878,14879,14880,14861,14856,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519,15855,15853,14551,204094;;
12;;;;;17968,;;;A>B;A;ДС ''Кунцевщина'' - ДС ''Сухарево-5'';12345;240538;;15858,15522,72615,72616,72617,14868,14889,14890,14891,73662,71995,73663,133395;;d1-d5 - 13.03.2019
;;;;;;;;B>A;A;ДС ''Сухарево-5'' - ДС ''Кунцевщина'';12345;240537;;133395,73664,71996,15177,14893,15178,14878,14608,72405,72406,72403,73580,15858;;
13;;;;7 АП;17510,;;;A>B;A;ДС ''Зелёный Луг-6'' - Макаёнка;1234567;211406;;15788,15787,15784,15782,54541,14461,15181,14388,14454,14481,14482,15012,15013,14350,14347,14403,14423,14425,14427,14428;;d1-d5 - 01.05.2019<br>d6-d7 - 10.12.2017
;;;;;;;;B>A;A;Макаёнка - ДС ''Зелёный Луг-6'';1234567;211407;;14428,14426,14424,14344,14348,14997,14998,14484,14483,14480,14389,15980,15981,14450,15781,15783,15785,15786,15788;;
14;;;;4 АП;17985,;;;A>B;A;ДС ''Восточная'' - Степянка;12345;242351;;15629,15612,15613,15614,15615,15942,15943,15813,15817,15819,16248,14771,14772,14774,14775,15363,15364,15365,15366,69253,15381,15382,15383,15384,15385;;d1-d5 - 30.03.2019
;;;;;;;;B>A;A;Степянка - ДС ''Восточная'';12345;242352;;15385,297191,15386,15387,15377,15370,15367,15368,15417,14738,14739,14740,14741,16247,15818,15815,15814,15940,15941,15626,15627,15628,73564,15629;;
;;;;;;;0.59;B1>D;A;Степянка - пер. Козлова  - АП4;12345;242356;;15385,297191,15386,15387,15377,15370,15367,15368,15417,14738,14739,14740,14741,16247,15818;;
;;;;;;;0.55;D>B1;A;АП4 - Поликлиника -  Степянка;12345;242355;;16248,14771,14772,14774,14775,15363,15364,15365,15366,69253,15381,15382,15383,15384,15385;;
15;;;;7 АП;17963,;;;A>B;A;ДС ''Славинского''- Фогеля;1234567;239407;;15014,14485,14486,14487,14431,14676,14652,111246,14434,14437,271011,271013,271014;;d1-d5 - 08.03.2019<br>d6-d7 - 16.03.2019
;;;;;;;;B>A;A;Фогеля - ДС ''Славинского'';1234567;239408;;271014,271012,14366,14627,14365,14436,14435,14656,14653,14675,14513,14514,14515,14996,14351,14997,15013,15014;;
15д;;;;;17791,;;;A>B;A;ДС ''Уручье-2'' - Фогеля;12345;229053;;14386,14649,14652,271011,271013,271014;;d1-d5 - 17.09.2018
;;;;;;;;B>A;A;Фогеля - ДС ''Уручье-2'';12345;229054;;271014,271012,14365,14653,14381,14386;;
16;;;;6 АП;17985,;;;A>B;A;ДС Ангарская-4 - ДС Чижовка;1234567;242447;;68909,15305,15306,15307,15308,15320,15321,15322,15971,15963,15972,15973,15965,15344,15345,15704,15705,15707,15530,15510,15511,15512,15513,15523,15524,15525,15535,68866;;d1-d5 - 30.03.2019<br>d6-d7 - 06.04.2019
;;;;;;;;B>A;A;ДС Чижовка - ДС Ангарская-4;1234567;242449;;68866,133126,15504,15505,15506,15507,15508,15509,15529,15709,15708,15706,15295,15296,15966,15967,15968,15969,15970,15323,15324,15325,15326,15327,15328,15329,68849,68909;;
17;;;;5 АП;17320,;;;A>B;A;ДС ''Сухарево-5'' - ДС ''Кунцевщина'';1234567;138510;;133395,73663,15142,15143,58348,15151,15152,15175,15176,14877,14878,14867,14600,14601,15522,15858;;d1-d5 - 13.03.2019<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;ДС ''Кунцевщина'' - ДС ''Сухарево-5'';1234567;138507;;15858,14606,14607,14868,14870,14892,15171,15173,15174,15156,15144,58347,73666,73665,133395;;
18;;;;4 АП;17985,;;;A>B;A;ДС ''Восточная'' - Новинки;1234567;242359;;15629,15630,15631,15632,15633,15634,68885,15741,15218,14961,14962,14963,14964,14965,14966,14967,14968,14969,15957;;d1-d5 - 30.03.2019<br>d6-d7 - 01.05.2019
;;;;;;;;B>A;A;Новинки - ДС ''Восточная'';1234567;242360;;15957,15000,15001,15002,15003,15004,15005,15006,15007,15008,58359,15740,15738,15603,15604,15605,15606,15607,15629;;
19;;;;;17971,;;;A>B;A;ДС ''Карастояновой'' - Слепянка;1234567;241225;;15714,15713,58346,15721,14456,15731,15733,15734,15742,15823,15314,15316,15818,15473,15435,15436,15437,15438,15439,15440;;d1-d5 - 13.04.2019<br>d6-d7 - 16.03.2019
;;;;;;;;B>A;A;Слепянка - ДС ''Карастояновой'';1234567;241226;;15440,14774,15441,15470,15471,15472,15817,15819,15820,15822,15824,14470,15735,15732,14441,15722,15717,15716,15715,15750,15714;;
;;;;;17999,;;0.27;B1>D;A;Слепянка - Уральская - АП;12345;245318;;15440,14774,15441,15470,15471,15472,15815;;
;;;;;17971,;;0.27;B4>D;A;Слепянка - Уральская  - АП;67;241228;;15440,14774,15441,15470,15471,15472,15815;;
;;;;;17999,;;0.27;D>B1;A;АП - Уральская - Слепянка;1234567;245317;;15473,15435,15436,15437,15438,15439,15440;;
20с;;;;6 АП;17985,;;;A>B;A;ДС Ангарская-4 - Станция метро ''Академия наук'';1234567;242452;;68909,15330,15331,15320,15321,15322,15971,15963,15972,15413,15414,15406,15417,14739,14754,15514,15952;;d1-d5 - 30.03.2019<br>d6-d7 - 06.04.2019
;;;;;;;;B>A;A;Станция метро ''Академия наук'' - ДС Ангарская-4;1234567;242453;;15952,14767,14769,14770,14775,15404,15405,15409,15969,15970,15323,15324,15325,15304,15833,68909;;
21;;;;;;;;A>B;A;ДС Шабаны - ДС Чижовка;12345;242456;;14746,14748,14749,69249,14824,14825,14828,16041,15343,15344,15345,15704,15705,15707,15530,15510,15511,15512,15513,15523,15524,15525,15535,68866;;d1-d4 - 30.03.2019<br>d5 - 30.03.2019
;;;;;;;;B>A;A;ДС Чижовка - ДС Шабаны;12345;242457;;68866,133126,15504,15505,15506,15507,15508,15509,15529,15709,15708,15706,15295,15296,15297,15620,16040,14745,14746;;
22;;;;;;;;A>B;A;ДС Ангарская-4 - ДС Чижовка;1234567;242469;;68909,15306,15307,58355,15336,15337,15969,15964,15965,15344,15345,15704,15705,15707,15530,15531,15532,15533,193269,68866;;d1-d5 - 30.03.2019<br>d6-d7 - 06.04.2019
;;;;;;;;B>A;A;ДС Чижовка - ДС Ангарская-4;1234567;242468;;68866,71280,15527,15528,15529,15709,15708,15706,15295,15296,15961,15962,15963,15338,15335,58356,15328,15329,68849,68909;;
23;;;;5 АП;18038,;;;A>B;A;ДС ''Малиновка-4'' - Городской Вал;1234567;248870;;54638,14951,14952,14982,14983,15585,15586,15643,15644,15645,15647,15648,71807,73042,15214,15215,15216,15165,15166,14716,54642,15922,68958,15929,15930,15932,15597,14690;;d1-d5 - 23.05.2019<br>d6-d7 - 22.05.2019
;;;;;;;;B>A;A;Городской Вал - ДС ''Малиновка-4'';1234567;248871;;14690,73579,15122,15567,15568,15936,15937,15931,15934,15926,15924,14762,15129,15130,14903,14904,14905,71803,73043,15638,15639,15640,15641,15642,15577,15578,14980,14981,14949,14950,147112,54638;;
;;;;;;;0;A>D;A;ДС ''Малиновка-4'' - АП5;1234567;248872;;54638,14951,14952,14982,14983,15585,15586,15643,15644,15645,15647,15648,71807,73042,15214;;
;;;;;;;0;B>D;A;Городской Вал - АП5;12345;248875;;14690,73579,15122,15567,15568,15936,15937,15931,15934,15926,15924,14762,15129,15130,14903,14904,14905;;
;;;;;;;0.54;B1>D;A;Городской Вал - D;67;248868;;14690,73579,15122,15567,15568,15936,15937,15931,15934,15926,15924,14762,15129,15130,14903,14904,14905;;
;;;;;;;0;D>A;A;АП5 - ДС ''Малиновка-4'';1234567;248874;;71803,73043,15638,15639,15640,15641,15642,15577,15578,14980,14981,14949,14950,147112,54638;;
;;;;;;;0;D>B;A;АП5 - Городской Вал;67;248873;;14716,54642,15922,68958,15929,15930,15932,15597,14690;;
;;;;;18039,;;0.36;D>B1;A;АП5  - Городской Вал;12345;248913;;14716,54642,15922,68958,15929,15930,15932,15597,14690;;
